Названия строк	Количество по полю Обобщенный	Среднее по полю ГлубинаН	Среднее по полю ГлубинаО
(TOP (S (S (NP (NP (NP (DT )(NN )(NN ))(ADVP (RB )))(PP (IN )(NP (DT )(NN )(CD )(NN ))))(VP (VBZ )(NP (NP (NN ))(VP (VBG )(NP (CD )(JJ )(JJ )(NNS ))))))(VP (VBZ )(VP (VBN )(PP (IN )(NP (NP (PRP$ )(NNS ))(CC )(S (VP (VBZ )(VP (VBN )(ADVP (RB ))(NP (NP (JJ )(NN )(JJ )(NN ))(PP (IN )(NP (NP (JJ )(NN ))(SBAR (WHNP (WDT ))(S (VP (VBZ )(PP (IN )(NP (JJ )(NNS )))(S (VP (TO )(VP (VB )(NP (JJ )(NN ))(SBAR (IN )(S (NP (NP (NN )(NN )(NN ))(SBAR (S (NP (JJ )(NN )(NNS ))(VP (VBP )(VP (VBN ))))))(VP (VBZ )(NP (CD )(NN ))(SBAR (IN )(S (NP (NP (NP (DT )(NNS ))(PP (IN )(NP (NN ))))(PP (IN )(NP (NNP )(CC )(NNP ))))(VP (VBP )(RB )(ADJP (RB )(JJ ))))))))))))))))))))))))(. )))	26	28	5,615384615
(TOP (S (S (NP (NP (NP (NNP )(NN )(NN ))(PP (IN )(NP (JJ )(JJ )(NNS ))))(PP (IN )(NP (JJ )(NNS ))))(VP (VBZ )(NP (NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NN ))))(, )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN )))))))(VP (VBZ )(NP (NP (DT )(JJ )(NN ))(PP (TO )(NP (NP (NN ))(PP (IN )(NP (NP (NN )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NNS )))))))))))(. )))	22	13	3,090909091
(TOP (S (S (NP (NP (PRP$ )(JJ )(NN )(NN ))(, )(NP (NP (NP (DT )(NN )(NN ))(PP (IN )(NP (JJ )(NN ))))(PP (IN )(NP (NNS )(CC )(NNS )))))(, )(VP (VP (VBG )(NP (DT )(NN )))(CC )(VP (VBG )(SBAR (IN )(S (ADVP (RB ))(NP (JJ )(NNS ))(VP (VBP )(VP (VBN )(PP (IN )(NP (NN )))(PP (IN )(NP (NP (NN ))(PP (TO )(NP (NNS ))))))))))))(, )(NP (NN ))(VP (VBZ )(VP (VBG )))(. )))	13	14	3
(TOP (S (S (NP (PRP ))(ADVP (RB ))(VP (VBP )(PP (IN )(NP (NNP )(, )(CD )))))(, )(CC )(S (NP (NNP ))(VP (VBD )(NP (CD )(NN )(CD ))))))	6	7	2,5
(TOP (S (S (NP (PRP ))(VP (MD )(VP (VB )(NP (NN )(JJ )(NN ))(PP (IN )(NP (PRP$ )(NN )(NN )))(S (VP (TO )(VP (VB )(S (NP (JJ )(NN )(NN ))(VP (VBP )(NP (PRP$ )(NN ))))))))))(, )(S (NP (PRP ))(VP (VBP )(S (VP (TO )(VP (VB )(NP (DT )(NN )))))))(. )))	12	12	3
(TOP (S (S (NP (PRP ))(VP (MD )(VP (VB )(PP (TO )(NP (JJ )(JJ )(NNS )))(PP (IN )(NP (NP (NN )(NN )(NNS ))(SBAR (S (NP (NNP )(CC )(NNP ))(VP (VBP )(VP (VBN )(PP (IN )(NP (DT )(NN )(NN ))))))))))))(, )(NP (DT )(NN ))(VP (VBZ )(S (VP (TO )(VP (VB )(SBAR (S (NP (NP (DT )(NN ))(PP (IN )(NP (NP (NNS )(NNP ))(, )(NP (NNP ))(, )(NP (NP (NNP )(NNP ))(, )(SBAR (WHADVP (WRB ))(S (NP (NNS ))(VP (VBP )))))(, )(NP (NNP )(CC )(NNP )(NNP )))))(VP (VBP )(ADVP (RB ))(VP (VBN )))))))))(. )))	18	16	3,777777778
(TOP (S (S (NP (PRP ))(VP (VBD )(SBAR (IN )(S (NP (NP (NN ))(PP (IN )(NP (NN )(NNS ))))(VP (VBZ )(PP (IN )(NP (DT )(VBG )(NN ))))))))(: )(NP (NP (NP (NP (NP (NNS ))(, )(ADJP (JJ )))(, )(NP (NNP ))(, )(CC )(NP (NP (NNP ))(PP (IN )(NP (JJR )(NNS )))))(, )(CC )(NP (NP (JJ )(, )(NNP )(, )(NNS )(, )(NNP ))(PP (IN )(NP (DT )(JJ )(NN )(NNS )))))(: )(S (NP (NP (DT )(NN ))(PP (IN )(NP (PRP$ )(NN ))))(VP (VBZ )(PP (IN )(NP (DT )(NN )(CC )(CD ))))))(. )))	17	10	2,647058824
(TOP (S (S (NP (PRP ))(VP (VBP )(CC )(VP (VBP )(S (NP (PRP ))(NP (NNS ))))))(ADVP (RB ))(VP (VBP )(SBAR (S (NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (ADJP (JJ )(CC )(JJ ))(DT )(NN )(NN ))(PP (IN )(ADJP (JJ )(CC )(JJ ))))))(VP (VBZ )(S (VP (TO )(VP (VB )(NP (JJ )(NN ))(PP (IN )(NP (DT )(JJ )(NN )(NNS )))(PP (IN )(NP (NP (NNP )(CC )(NNP ))(, )(SBAR (WHNP (WDT ))(S (VP (VBP )(VP (VBG )(NP (DT )(JJ )(NN )))))))))))))))(. )))	21	17	3,952380952
(TOP (S (S (NP (PRP ))(VP (VBP )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (JJ )(NNS ))))))(PP (IN )(NP (NP (NNS ))(PP (IN )(NP (NN )))))))(: )(S (S (NP (PRP ))(VP (MD )(VP (VB )(VP (VBN )))))(CC )(S (NP (DT )(NN )(NN ))(VP (MD )(VP (VB )(VP (VBN )(NP (NP (DT )(NN ))(SBAR (S (NP (DT )(JJ )(NN ))(VP (VBZ )(VP (VBN )))))))))))(. )))	15	13	3,6
(TOP (S (S (NP (PRP ))(VP (VBP )(NP (NP (PRP$ )(NN ))(PP (IN )(NP (DT )(JJ )(NN ))))(ADVP (RB ))))(, )(CC )(S (PP (IN )(NP (DT )(JJ )(NNS )))(NP (PRP ))(VP (MD )(VP (VB )(NP (DT )(NN )(NN ))(PP (IN )(SBAR (WHADVP (WRB ))(S (NP (NNS ))(VP (VBP )(VP (VBN )(CC )(VBN )))))))))(. )))	13	11	2,769230769
(TOP (S (S (NP (PRP ))(VP (VBP )(S (VP (TO )(VP (VB )(NP (PRP$ )(JJ )(NN ))(PP (TO )(NP (PRP$ )(NNS ))))))))(, )(CC )(S (VP (VB )(NP (NP (JJ )(NNS ))(PP (JJ )(IN )(NP (NP (NN ))(PP (IN )(NP (PRP ))))))))(. )))	11	10	3,090909091
(TOP (S (S (NP (PRP ))(VP (VBP )(SBAR (IN )(S (NP (NP (JJ )(NN ))(PP (IN )(NP (NNP ))))(, )(VP (VBG )(NP (CD )(CC )(DT )(JJ )(NN )))))))(, )(NP (PRP ))(VP (VBP )(NP (NN )))(. )))	3	10	2
(TOP (S (S (NP (PRP ))(VP (VBP )(SBAR (IN )(S (NP (NP (NN ))(PP (IN )(NP (NN )(NNS ))))(VP (VBZ )(PP (IN )(NP (DT )(VBG )(NN ))))))))(: )(NP (NP (NP (NP (NNP ))(, )(NP (NNS ))(, )(ADJP (JJ )))(, )(CC )(NP (NNP ))(, )(CC )(PP (IN )(NP (CD )(NN )(NNS )))(, )(CC )(NP (NNP )))(, )(NP (NNP ))(, )(NP (NNS ))(, )(CC )(ADJP (JJ )))(. )))	9	10	3,444444444
(TOP (S (S (NP (PRP ))(VP (VBP )(VP (VB )(S (VP (TO )(VP (VB )(NP (DT )(JJ )(NN ))))))))(, )(CC )(S (NP (PRP ))(VP (VBP )(VP (VB )(S (VP (TO )(VP (VB )(ADJP (JJ ))(PP (IN )(S (VP (VBG )(NP (PRP ))(, )(SBAR (IN )(S (NP (NN )(NN ))(VP (VBZ )(VP (VBN )(PP (IN )(NP (NN )(NN ))))))))))))))))(. )))	12	18	4
(TOP (S (S (NP (PRP ))(VP (VBP )(VP (VBN )(NP (NP (DT )(JJS )(JJ )(NN ))(PP (IN )(NP (JJ )(NNS )))))))(, )(CC )(S (PP (IN )(NP (DT )(NN )))(NP (PRP ))(VP (VBP )(NP (PRP ))(PP (TO )(NP (NP (DT )(NN ))(PP (IN )(NP (NNS )))))))(. )))	9	9	3,111111111
(TOP (S (S (NP (PRP ))(VP (VBP )(VP (VBN )(NP (NP (NNS ))(PP (IN )(NP (JJ )(NNS ))))(PP (TO )(NP (NP (DT )(NNS ))(SBAR (WHADVP (WRB ))(S (NP (DT )(NN ))(VP (VBZ )(VP (VBN )(PP (IN )(NP (DT )(JJ )(NN ))))))))))))(, )(CC )(S (NP (NN )(NNS ))(VP (VBP )(PP (IN )(NP (NP (JJ )(NNS ))(CC )(NP (JJ )(NNS ))))))(. )))	16	14	3,3125
(TOP (S (S (NP (PRP ))(VP (VBZ )(NP (DT )(NN ))(PP (IN )(NP (PRP )))))(: )(S (NP (DT )(NN ))(VP (VBZ )(VP (VBN )(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(S (VP (VBG )(NP (PRP ))(PP (IN )(NP (DT )(NN )))))))))))(. )))	12	13	4,583333333
(TOP (S (S (NP (PRP ))(VP (VBZ )(S (NP (PRP ))(ADJP (JJ )))))(, )(NP (NP (NNP ))(, )(CC )(NP (NNP ))(, )(ADVP (RB )))(-RRB- )(. )))	1	7	2
(TOP (S (S (PP (IN )(NP (DT )(JJ )(NN )))(, )(NP (DT )(NN ))(VP (VBD )(VP (VBN )(PP (IN )(NP (NP (NP (DT )(NN ))(PP (IN )(NP (JJ )(NNS ))))(PP (IN )(NP (DT )(JJ )(CD )))))(, )(S (VP (VBG )(NP (DT )(NNS )))))))(: )(S (-LRB- )(VP (VB )(PP (IN )))(-RRB- ))(. )))	15	11	3,533333333
(TOP (S (S (PP (IN )(NP (DT )(JJ )(NN )))(, )(NP (NP (JJS )(NNS ))(PP (IN )(NP (NN ))))(VP (VBP )(RB )(ADJP (JJ ))))(, )(NP (PRP ))(VP (VBP )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (NNS ))(PP (IN )(NP (JJ )(NNS )))))))(. )))	4	9	2
(TOP (S (S (PP (IN )(NP (DT )(JJ )(NN )))(, )(PP (IN )(NP (NP (DT )(NNP )(NN ))(, )(SBAR (WHADVP (WRB ))(S (NP (NP (DT )(NN ))(PP (IN )(NP (NP (NN ))(PP (IN )(NP (NNS ))))))(VP (VBP )(VP (VB )))))))(, )(NP (PRP$ )(NN ))(VP (VBZ )(NP (CD )(NN ))(PP (IN )(NP (NNS )))(PP (TO )(NP (JJ )(NN )))(PP (IN )(NP (DT )(NN )))))(VP (VBZ )(NP (QP (RB )))(SBAR (S (NP (NP (CD )(NN )(NN ))(PP (IN )(NP (NP (NP (DT )(NN ))(ADJP (JJ )(CC )(JJ ))(NN ))(PP (IN )(NP (NP (JJ )(NNS ))(PP (IN )(NP (NNP )(NN ))))))))(VP (VBP )(VP (VBN )(PP (IN )(NP (NP (ADJP (RB )(JJR ))(NN ))(SBAR (IN )(S (NP (NN ))(VP (VBN )))))))))))(. )))	30	13	3,466666667
(TOP (S (S (PP (IN )(NP (DT )(JJ )(NN )))(, )(S (VP (VBG )(NP (DT )(NN )(NN )(NNP )(NN ))))(VP (VBZ )(VP (VBN )(PP (IN )(NP (NNS )(NNS ))))))(VP (VBZ )(S (VP (TO )(VP (VB )(NP (NP (DT )(NNS ))(PP (IN )(NP (NP (DT )(NNS ))(PP (IN )(NP (DT )(NN ))))))))))(. )))	15	12	4,533333333
(TOP (S (S (PP (IN )(NP (DT )(JJ )(NN )))(NP (PRP ))(VP (VBD )(PP (IN )(NP (NP (DT )(JJ )(NN ))(, )(NP (JJ )(NN )(NN ))))))(, )(S (VP (VB )(S (NP (PRP ))(VP (VB )(NP (NP (NP (DT )(NN ))(SBAR (S (NP (PRP ))(VP (VBD )(NP (PRP ))(PP (IN )(NP (NP (NNS ))(PP (IN )(NP (NN )))))))))(SBAR (S (NP (PRP ))(VP (VBD )(NP (PRP ))(S (VP (TO )(VP (VB )(NP (PRP$ )(NN )(NNP )(CD )(NN ))(NP (CD )))))(S (NP (PRP ))(VP (VBD )(SBAR (IN )(S (NP (PRP ))(VP (VBD )(NP (DT )(JJ )(NN )))))))))))))))(. )))	13	17	2,769230769
(TOP (S (S (PP (IN )(NP (DT )(NN )))(NP (PRP ))(VP (VBD )(S (VP (TO )(VP (VB )(NP (DT )(JJS ))(PP (IN )(NP (DT )(NNS ))))))))(: )(S (VP (VB )(SBAR (S (NP (JJ )(NN )(NN )(NN ))(VP (VBN )(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NN )(NN ))(VP (VBG )(NP (NP (JJ ))(PP (IN )(NP (NP (DT )(JJS ))(PP (IN )(NP (PRP$ )(NN )))(SBAR (S (NP (DT ))(VP (VBZ )(NP (NP (NP (CD ))(PP (IN )(NP (DT )(JJ )(NNS ))))(PP (IN )(S (VP (VBG )(NP (DT )(JJ )(NN ))(S (VP (TO )(VP (VB )(NP (DT )(NN )(NN )(NN ))(, )(S (VP (VBG )(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (JJ )(NNS ))))))))))))))))))))))))))))))(. )))	27	32	3,666666667
(TOP (S (S (PP (IN )(NP (DT )(NN )))(NP (PRP ))(VP (VBP )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NN ))))))(SBAR (IN )(IN )(S (NP (PRP ))(VP (MD )(VP (VB )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (DT )(NNS ))))(, )(S (VP (VBG )(PP (IN )(NP (NP (NN ))(CONJP (RB )(RB ))(NP (JJ )(NNS ))))))))))))(, )(CC )(S (NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (DT )(NP (DT )(NN )(CC )(NNS ))(DT )(NN ))(PP (IN )(NP (NP (NN ))(PP (TO )(NP (NP (JJ )(NNS ))(PP (IN )(NP (NN ))))))))))(VP (VBP )(VP (VBN )(PP (TO )(NP (NP (DT )(VBN )(NN ))(PP (IN )(S (VP (VBG )(NP (NP (NNS ))(VP (VP (VBN )(PP (IN )(NP (JJ )(NN )(NN ))))(CC )(VP (VBG )(NP (NN ))(, )(NP (JJ )(CC )(JJ )(NN )))))))))))))(. )))	15	16	2,933333333
(TOP (S (S (PP (IN )(NP (JJ )(JJ )(NNS )))(, )(NP (JJ )(NNS ))(ADVP (RB ))(VP (VBP )(NP (NP (JJ )(JJ )(NNS ))(PP (IN )(NP (NN ))))(ADVP (RB ))(, )(S (VP (VBN )(PP (IN )(NP (JJ )(NNS )))))))(, )(CC )(S (NP (CD ))(VP (MD )(VP (VB )(SBAR (IN )(S (NP (DT )(JJ )(JJ )(NN ))(VP (VBZ )(NP (VBN )(NN ))))))))(. )))	11	10	2,727272727
(TOP (S (S (PP (IN )(NP (NN )(NNS )))(, )(NP (PRP ))(VP (MD )(VP (VB )(NP (NP (DT )(JJ )(JJ )(JJ )(NNS ))(PP (IN )(NP (NNS )))))))(, )(NP (NN ))(VP (VBZ )(ADVP (RB )))(. )))	3	9	3
(TOP (S (S (PP (IN )(NP (NN )))(, )(NP (PRP ))(VP (VBP )(NP (NN ))(PP (IN )(NP (JJ )(NN )))(PP (IN )(NP (JJ )(NN )(NN )))))(, )(S (NP (NN )(SYM ))(NP (NN )))(. )))	5	7	2,4
(TOP (S (S (PP (IN )(NP (NN )))(, )(S (VP (TO )(VP (VB )(NP (DT )(VBG )(NN )))))(, )(NP (PRP ))(VP (VBP )(RB )(ADVP (RB ))(VP (VB )(S (VP (TO )(VP (VB )(NP (NP (DT )(NNS ))(PP (IN )(NP (JJ )(NNS )))))(CC )(VP (ADVP (RB ))(VB )(NP (DT )(VBG )(NNS ))(PP (IN )(NP (NP (DT ))(PP (IN )(NP (NP (DT )(NN )(NN ))(PP (IN )(NP (NP (DT )(NNS ))(PP (IN )(NP (NP (DT )(NNP )(NNP ))(CC )(NP (NNP )(NNP )(NNP ))))))))))))))))(VP (VBZ )(SBAR (IN )(S (NP (PRP ))(VP (VBZ )(NP (NP (DT )(NNS ))(PP (IN )(NP (NN )(NN )(NNS ))))))))(. )))	27	18	3,666666667
(TOP (S (S (PP (IN )(NP (NNP )))(, )(NP (PRP ))(VP (VBP )(S (VP (TO )(VP (VB )(NP (DT )(NNP )(NN )))))))(, )(CC )(S (VP (VB )(NP (NP (NP (DT )(NN )(NN ))(PP (IN )(NP (PRP ))))(, )(PP (VBG )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NNP )(NN ))(NP (PRP )))))))))(. )))	5	11	3
(TOP (S (S (PP (IN )(NP (NP (DT )(NN ))(, )(SBAR (WHADVP (WRB ))(S (NP (NN )(NNS ))(VP (VBP )(S (NP (NP (DT )(NN ))(CC )(NP (JJ )(NNS )))(VP (VBP )(NP (DT )(JJ )(NNS ))(ADVP (RB ))(, )(PP (IN )(NP (JJ )(JJ )(NN )))(PP (IN )(NP (NNP ))))))))))(, )(NP (DT )(NN )(NN ))(VP (VBZ )(ADJP (JJ ))))(, )(S (NP (DT )(NN )(NN ))(VP (VBZ )(ADJP (ADJP (JJR ))(PP (IN )(PP (IN )(NP (DT )(JJ )(NNS )))))))(. )))	10	13	2,6
(TOP (S (S (PP (IN )(NP (NP (DT )(VBN )(NN ))(PP (IN )(NP (NNS )))))(, )(NP (RB )(DT )(JJ )(NN ))(VP (VBZ )))(: )(S (SBAR (IN )(S (NP (NNS ))(VP (VBP )(NP (DT )(JJ ))(PP (IN )(NP (DT )(JJ )(NN ))))))(, )(NP (DT )(NN ))(VP (VBZ )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN ))))))))(. )))	13	10	3,461538462
(TOP (S (S (PP (IN )(NP (NP (NN ))(PP (IN )(NP (NP (JJ )(NN ))(PP (IN )(NP (NN )(NN )))))))(, )(PP (IN )(NP (NN )))(, )(VP (VBG )(NP (NNP )(NN ))))(, )(NP (DT )(NN )(NN ))(VP (VBZ )(ADJP (JJ )(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NN )(NN )(NNS ))))))(S (VP (TO )(VP (VB )(NP (NP (JJ )(NNS ))(SBAR (S (NP (DT )(NN ))(VP (VBZ )(ADJP (JJ )(PP (TO )(NP (NP (NN )(NNP ))(, )(NP (NNP )(NNP ))(, )(NP (NNP )(NNP ))(, )(NP (NNP )(NNP ))(, )(NP (NP (NNP )(NNP ))(PP (IN )(NP (NP (DT )(JJ )(NN )(CC )(NN ))(PP (IN )(NP (NP (NN ))(PP (IN )(NP (NP (DT )(NNS )(CD )(. )(NNP ))(, )(NP (NNP )(NNP )(NNP ))))))))))))))))))))(. )))	15	22	3,4
(TOP (S (S (PP (IN )(NP (PRP$ )(JJ )(NNS )))(NP (PRP ))(ADVP (RB ))(VP (VBD )(NP (DT )(NN ))))(, )(CC )(S (PP (IN )(NP (DT )(NN )))(NP (PRP ))(VP (VBP )(S (NP (DT )(NN )(NN ))(VP (TO )(VP (VB )(PP (TO )(NP (NP (DT )(JJ )(NNS ))(VP (VBN )(PP (IN )(NP (NNP )))))))))))(. )))	9	13	2,444444444
(TOP (S (S (PP (IN )(NP (PRP$ )(JJR )(NNS )))(NP (PRP ))(VP (VBD )(NP (NN )(NN ))(S (VP (TO )(VP (VB )(NP (NNS ))(PP (IN )(NP (DT )(NN )(NN ))))))))(, )(CC )(S (ADVP (RB ))(NP (PRP ))(VP (VBP )(PP (TO )(S (VP (VP (VBG )(NP (NP (DT )(NN ))(PP (IN )(NP (NNS )))))(, )(VP (VBG )(PP (IN )(NP (JJ )(NN ))))(-RRB- ))))))(. )))	14	12	3,785714286
(TOP (S (S (PP (IN )(NP (PRP$ )(NN )))(, )(PP (IN )(NP (NP (NNS ))(PP (IN )(NP (NN )))))(VP (TO )(VP (VB )(NP (JJ )(NNS )))))(, )(NP (PRP ))(VP (VBP )(S (VP (TO )(VP (VB )(VP (VBN )(PP (IN )(NP (NP (NNS ))(PP (IN )(NP (NP (JJ )(NNS ))(, )(SBAR (WHNP (WDT ))(S (VP (VBP )(NP (NP (DT )(JJ )(NN ))(CC )(NP (NP (JJ )(NN ))(PP (IN )(NP (NNS )))))))))))))))))(. )))	11	19	2,818181818
(TOP (S (S (PP (IN )(NP (PRP$ )(NN )))(NP (VBN )(NNS ))(VP (VBP )(NP (JJ )(NNS ))))(, )(CC )(S (NP (NNS ))(VP (VBP )(NP (NP (DT )(NNS ))(PP (IN )(NP (PRP$ )(JJ )(JJ )(NNS ))))))(. )))	10	8	2,7
(TOP (S (S (PP (PP (IN )(NP (DT )(NN )(NN )))(, )(CC )(PP (IN )(NP (JJ )(NN ))))(, )(NP (PRP ))(VP (VBP )(NP (DT )(JJ )(NNP ))(PP (IN )(NP (DT )(NN )(NN )(NN )))))(, )(S (NP (NN ))(VP (VBG )(NP (NP (DT )(NN ))(PP (IN )(NP (NN )))(, )(CC )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NNS )))))))(. )))	13	9	3
(TOP (S (S (PP (VBN )(NP (DT )(NN )))(, )(NP (DT )(NN )(NN ))(VP (VBZ )(VP (VBN )(PP (TO )(NP (NNP )(NNP ))))))(CC )(S (NP (NNP )(CC )(NN )(NNS ))(VP (VBP )(VP (VBN )(PRT (RP ))(PP (IN )(NP (NP (NNS ))(PP (IN )(NP (NN )))))(PP (IN )(NP (NNP )(NN ))))))(. )))	7	10	3
(TOP (S (S (PP (VBN )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NNS )))))(, )(NP (NN ))(VP (VBZ )(NP (NP (PRP$ )(ADJP (RBS )(JJ ))(NN )(NN ))(, )(NP (NN ))(-RRB- ))))(, )(CC )(S (NP (NN ))(VP (VBZ )(NP (NP (PRP$ )(ADJP (RBS )(JJ ))(NN ))(, )(NP (NN ))(, )(NP (NP (NNP ))(SBAR (S (PP (IN )(NP (DT )(JJ )(NN )))(, )(NP (PRP ))(VP (VBP )(NP (NP (DT )(NN ))(PP (IN )(NP (CD )(NN )(NNS ))))(SBAR (IN )(S (VP (VBZ ))))(: ))))))))(. )))	13	13	2,923076923
(TOP (S (S (S (ADVP (RB ))(, )(PP (IN )(NP (DT )(NN )(CC )(NN )(NN )))(, )(ADVP (RB ))(NP (PRP ))(VP (VBP )(NP (NP (NN )(NNS ))(PP (IN )(NP (NNP )(NNP )(NNP ))))))(, )(NP (PRP ))(ADVP (RB ))(VP (VP (VBP )(NP (PRP$ )(NN )(CC )(NN ))(NP (DT )(JJ )(NN )))(CC )(VP (VB )(NP (DT )(JJ )(NN ))(, )(S (VP (TO )(VP (VB )(SBAR (S (NP (PRP$ )(NNP )(NNS ))(VP (VBP )(VP (VBN )(PP (IN )(NP (NP (NN ))(PP (IN )(NP (DT )(NN )))))))))))))))(: )(NP (NP (NNP )(NN ))(, )(SBAR (WHADVP (WRB ))(S (NP (DT )(NN ))(VP (ADVP (RB ))(CC )(VP (ADVP (RB ))(VBZ )(VP (VBG )(NP (NP (NN ))(PP (IN )(NP (NNS ))))))))))(. )))	13	17	2,846153846
(TOP (S (S (S (NP (DT )(NN )(NN ))(VP (MD )(VP (VB )(VP (VBN )(PP (IN )(S (VP (VP (VBG )(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (CD )(NN ))))))(, )(VP (ADVP (RB ))(VBG )(PP (TO )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN ))))))(CC )(VP (VBG )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN ))))))))))))(VP (VBZ )(VP (VBN )(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (JJ )(JJ )(NNS ))))))))(, )(S (NP (PRP$ )(NN ))(VP (VBZ )(VP (VBN )(PP (IN )(NP (VBG )(NNS ))))))(. )))	34	16	4,588235294
(TOP (S (S (S (NP (DT )(NN ))(VP (MD )(VP (VB )(PP (IN )(NP (DT )(JJ )(NN )(JJ )(NN ))))))(VP (MD )(VP (VB )(VP (VBN )(PP (IN )(NP (DT )(NN )(NN )))))))(, )(CC )(S (NP (DT )(JJ )(NN ))(VP (MD )(VP (VB )(VP (VBN )(PP (IN )(NP (DT )(NN )(NN )))))))(. )))	15	9	3,666666667
(TOP (S (S (S (NP (DT ))(VP (VBD )(SBAR (S (NP (NNP ))(VP (VBD )(PP (IN )(NP (DT )(JJ )(NN )(NN ))))))))(VP (VBZ )(VP (VBN )(PP (IN )(: )(SBAR (WHADVP (WRB ))(S (NP (NNS ))(VP (VBZ )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(JJ )(NN )))))))))))(, )(CC )(S (NP (NNP ))(VP (VBZ )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(JJ )(NNS )))(VP (VBD )))))(. )))	15	13	3,133333333
(TOP (S (S (S (NP (NP (DT )(NN ))(PP (IN )(NP (NP (JJ )(NNS ))(SBAR (S (NP (DT )(NN ))(VP (VBZ )(NP (NP (PRP$ )(JJ )(NN ))(SBAR (S (NP (DT )(NN ))(VP (VBZ )(NP (DT )(VBG )(NN )(NNP ))(, )(S (VP (VP (VBP )(, )(S (VP (VBP )(VP (VBG )(NP (NP (NN )(POS ))(NN )(NN ))(, )(ADVP (RB ))))))(, )(VP (VB )(, )(NP (NP (NN )(NN ))(, )(NP (NN ))(, )(NP (NN ))(, )(NP (NN ))))(, )(VP (VB ))))))))))))))(, )(VP (VBG )))(, )(NP (NP (NN ))(, )(NP (NP (NN ))(, )(NP (JJ )(NNP ))))(, )(VP (VBP )(, )(S (VP (VBP )))))(, )(NP (NN ))(, )(ADVP (RB ))(, )(VP (VB )(, )(NP (NP (NN ))(, )(NP (NNP ))(, )(NP (NN ))(, )(NP (NN ))(, )(S (VP (VB )(, )(SBAR (S (VP (VP (VB )(, )(S (VP (VB )(, )(S (VP (VBG ))))))(, )(VP (VBP )(, )(S (NP (NP (NN ))(, )(NP (NP (NN ))(, )(ADJP (JJ ))))(, )(VP (VBG )(PP (TO )(NP (NNS )))(NP (NN ))(, )(PP (IN )(NP (NP (NN ))(, )(PP (IN )(NP (JJ )(NNS )))))(, )(S (VP (VBP )(, )(S (VP (VB )(SBAR (S (NP (NP (DT )(NN ))(PP (IN )(NP (JJ )(NNS ))))(VP (VBP )(VP (VBN )(S (VP (TO )(VP (VP (VB ))(CC )(VP (VB )(SBAR (WHADVP (WRB ))(S (NP (NP (DT )(NNS )(NNS ))(CC )(NP (JJ )(NNS )))(VP (VBP )(VP (VBN )(PP (TO )(NP (DT )(JJ )))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (JJ )(NN ))(PP (IN )(NP (JJ )(NNS )))))))))))))))))))))))))))))))))(. )))	38	35	3,710526316
(TOP (S (S (S (NP (NP (NP (NN ))(PP (IN )(NP (JJ )(NN )(NN ))))(PP (IN )(NP (NP (NN ))(PP (IN )(NP (NN ))))))(VP (VBP )(NP (DT )(NNS ))))(, )(NP (PRP ))(VP (VBP )(NP (DT )(NNS )(NN ))))(, )(CC )(S (NP (NN )))(. )))	6	10	2,333333333
(TOP (S (S (S (NP (PRP ))(ADVP (RB ))(VP (VBP )(NP (DT )(NNS ))(S (VP (TO )(VP (VB )(NP (NP (NP (JJ )(NNS ))(PP (IN )(NP (JJ )(NN )(NNS ))))(PP (IN )(NP (DT )(VBG )(NN )(JJ )(JJ )(NNP )(NN )))))))))(VP (VBZ )(SBAR (WHADVP (WRB ))(S (VP (TO )(VP (VB )(NP (DT )(JJ )(NN )(NN ))(PP (IN )(NP (NN )))))))))(, )(NP (NN ))(VP (VBZ )(NP (NP (DT )(NN ))(PP (IN )(NP (NNS )))(SBAR (WHNP (WDT ))(S (VP (MD )(VP (VB )(VP (VBN ))))))))(. )))	15	13	4,133333333
